isocode,XRAT,POP,cc,cg,ci,kc,kg,ki,openc,openk,csave,rgdpch,rgdpl,cgdp,rgdptt,y,p,pc,pg,pi,yr,cgnp,rgdpeqa,rgdpwok
PER,0.0000139,19916.47,70.070192448,16.055218364,15.257706974,70.842335624,15.725518139,14.213783101,29.268530107,19.415720539,13.874589188,4770.3419377,4775.5442151,3590.5982421,4748.4921778,19.587759607,36.171399515,36.323102033,21.713540408,50.688276838,1986,95.343623974,5968.8105056,15099.359285
PER,0.0000168,20336.64,69.546953508,14.864077178,17.338374605,71.091511217,15.057347627,16.559573991,23.68627276,18.522327544,15.588969314,5112.0657076,5110.428669,4026.9195192,5159.8396519,20.811807055,52.125881795,52.686106748,34.97017123,64.586211677,1987,95.593857978,6388.3983204,16136.00975
PER,0.000128832,20752.23,71.086277196,14.150602425,17.47296646,71.755287451,14.141796793,16.394346901,29.782201544,17.919801825,14.76312038,4574.5331585,4573.7359796,3675.41991,4556.4020306,17.793403369,43.816877314,43.835294744,23.035485605,60.571902056,1988,88.872888781,5708.0903843,14405.413154
PER,0.002666188,21163.04,71.175762602,13.689771601,15.000504656,71.449776771,13.386548102,14.029573507,24.642848254,20.584901181,15.134465797,3829.4207314,3834.0908188,3171.6748513,3795.636455,14.424161745,64.324052764,62.091021215,49.168587641,88.750736257,1989,85.865636211,4768.873456,12020.220917
PER,0.187885597,21569,70.041892566,13.68692729,15.827876798,71.907867216,13.340816879,15.44813965,23.562799234,21.617893976,16.271180145,3584.6922342,3586.4160351,3158.5010853,3627.3452639,13.729659522,53.047071926,53.185802424,31.788256072,70.816411671,1990,97.012444675,4456.2901616,11217.727478
PER,0.772499979,21971.18,72.309303082,12.288748334,17.204521407,72.816696479,12.494354403,16.357023521,21.753077484,22.477733634,15.401948584,3764.0012874,3766.293746,3406.2561238,3761.6094447,14.512571723,56.614819636,62.084424527,26.715259624,54.98297247,1991,93.495452524,4661.3626662,10818.67597
PER,1.245833039,22369.07,72.96466504,12.983518329,16.207349643,73.144609629,13.043033386,15.944068694,23.817502169,24.173555163,14.051816632,3643.0325725,3646.4750234,3375.9766791,3646.1503988,13.769535952,55.819306919,60.473391545,28.571023947,56.695135224,1992,96.77621751,4494.4239595,9681.7580952
PER,1.988319039,22762.17,72.843367274,12.532322846,17.594086419,72.365250988,12.497540761,17.106052078,24.110473211,23.176157124,14.62430988,3785.8945864,3788.5712022,3549.1065889,3752.1348177,13.91558818,50.89864021,54.324483972,26.899742065,53.809387771,1993,96.328135737,4653.0060156,9356.2276162
PER,2.194999933,23149.98,70.80802487,12.26371238,19.935917659,71.012045031,12.240509207,19.711964152,25.530601972,25.286041715,16.92826275,4164.9046058,4165.6125186,4009.2723776,4163.8381018,14.940951897,54.117258794,56.311789931,32.443966382,59.655233569,1994,96.392808703,5099.533906,9618.7173344
PER,2.253333092,23532,70.23353318,12.797540048,21.997557535,70.913736249,12.683708044,21.941781411,27.797802561,27.629865551,16.968926772,4427.917978,4427.5662718,4373.1121953,4448.8006174,15.677092344,57.312169253,59.185128381,36.774165114,63.280622486,1995,96.721772659,5401.2152811,10226.138517
PER,2.453332901,23947,70.88304309,12.68457958,20.86057456,70.88304309,12.68457958,20.86057456,28.30725681,28.30725681,16.43237733,4434.0800561,4434.0800561,4434.0800561,4434.0800561,15.18837315,57.33582716,59.030031736,36.03724746,64.529931654,1996,97.419830715,5388.5022294,10240.369644
PER,2.664166927,24371,69.395993783,12.739200826,22.279832073,69.309669276,12.78509274,22.455777493,32.724072237,29.859688749,17.864805391,4649.2069066,4649.2069066,4734.2164228,4655.0121021,15.371911562,51.189524607,52.036213794,39.549610589,55.207793882,1997,97.84579778,5636.2376659,10619.530471
PER,2.930000067,24801,70.34829185,13.227870314,21.779654107,69.002136085,13.160384082,22.098573896,31.812517162,31.087320549,16.423837836,4550.5145537,4550.4829568,4629.2994667,4503.3782863,14.363240106,49.609243004,50.285330185,39.480286513,53.57730164,1998,97.381000997,5503.2516227,10253.640559
PER,3.383332968,25230,70.058007839,13.836719314,18.427029107,68.105082378,13.494368034,18.950525187,31.951089128,29.160547922,16.105272847,4517.7282593,4514.6327087,4627.9676331,4437.0960884,13.722348778,44.177422157,44.080827939,34.828587914,51.564635417,1999,96.93565096,5443.8529367,10070.88897
PER,3.49000001,25661,69.533558558,14.894778294,17.441397026,68.529508837,13.738943057,17.67867467,33.808747621,29.85552092,15.571663148,4589.0408355,4583.0269607,4799.2987102,4497.2543929,13.474111115,43.490119866,44.167486892,32.593304363,50.095434286,2000,97.116558504,5509.8692493,10094.899923
PHL,1.999430608,21017.74091,76.099787575,9.5670481203,13.789660328,81.297112412,15.341370659,12.763398948,25.647422191,50.537146513,14.333164305,1343.1267382,1345.2387079,265.14385885,1479.657704,13.719889598,62.138120566,63.367578031,49.063335404,64.424300655,1950,,1710.8465272,3105.7647853
PHL,1.999430608,21711.72293,79.940906109,9.4297128327,12.76943794,83.805606728,14.409107062,11.393569205,28.304575585,52.819008189,10.629381059,1362.4873268,1363.1469359,283.90520585,1463.3358749,12.996564395,63.527540991,64.159729308,48.800862925,70.444888386,1951,,1742.6763417,3194.6199044
PHL,2.000403568,22306.56467,79.782662473,10.242491276,11.661892757,81.000826598,15.059209252,9.9210309899,25.536179759,50.49338758,9.9748462514,1487.9405263,1496.9952702,307.94973427,1560.8559732,13.605026207,57.879167291,58.454268699,44.046280238,66.093966165,1952,,1909.5529532,3529.247368
PHL,1.999430609,23000.54668,78.572043737,9.7051108647,12.425319874,83.776174965,15.068799539,11.154102819,25.67756807,48.747655245,11.722845399,1571.2970833,1575.7296372,345.1077372,1721.430617,14.663506757,55.510698806,55.411460139,42.553323051,66.258925369,1953,,2018.2743726,3766.6432238
PHL,1.998457652,23595.38843,79.519722648,9.8022546204,11.974371768,83.494482683,14.721078448,10.730709319,24.425075773,48.337694979,10.678022732,1677.6691362,1682.2821391,365.39328274,1809.8036532,15.845829649,53.785981615,54.250588685,40.115161989,61.89157841,1954,,2157.2505082,4072.1133205
PHL,1.998457652,24289.37045,79.944628173,10.442677954,12.300196893,85.145800784,15.411691093,11.10272781,25.228110127,52.99787416,9.6126938731,1704.8827217,1711.0809274,379.59935734,1861.621594,15.326147427,52.51949911,53.418146088,38.052960058,58.960648844,1955,,2201.7148126,4195.8490942
PHL,1.999430613,25082.49277,77.284273528,10.455911806,13.058155547,79.833453228,14.715038216,11.182675096,22.802627462,44.379265513,12.259814666,1837.2876756,1841.9826435,404.86099327,1932.3982482,15.830810683,52.644916957,53.688710601,37.473315462,58.615445753,1956,,2375.287704,4571.2420629
PHL,2.000403574,25875.61507,77.580376204,10.688009492,15.012131204,82.373325307,15.194027173,13.077635384,23.662192063,46.585330835,11.731614304,1802.0556495,1800.6910998,419.75456672,1929.790532,15.869793398,52.256611306,53.407470695,36.737844033,57.357860855,1957,,2337.3367456,4543.865249
PHL,2.000403574,26668.73738,76.546914728,10.655561089,13.998605833,80.224657309,14.807458989,12.13945141,21.171100998,39.404344115,12.797524183,1862.6555955,1863.8911921,442.14855775,1974.1793992,16.702744722,51.945503159,53.178674308,36.501082944,56.95839638,1958,,2420.0544096,4757.9842313
PHL,1.995538779,27461.85969,74.103571719,10.939183049,14.738258433,76.77331069,14.804640045,12.550817666,19.620777657,31.888904521,14.957245232,1962.2501587,1962.423797,466.86834029,2047.8822289,16.517487256,50.820961687,51.678939052,35.31671214,58.01479922,1959,,2558.9162711,5075.2135299
PHL,2.014997959,27561,75.113517465,11.476992315,13.202776004,76.918180739,15.121194327,11.215599428,21.020743346,34.94527156,13.40949022,2014.5769173,2022.2854039,480.73752001,2092.3567325,16.643621091,52.547141149,53.152137375,35.703568962,63.747070158,1960,98.602895696,2633.3525272,5282.707871
