isocode,XRAT,POP,cc,cg,ci,kc,kg,ki,openc,openk,csave,rgdpch,rgdpl,cgdp,rgdptt,y,p,pc,pg,pi,yr,cgnp,rgdpeqa,rgdpwok
BEN,245.6784058,2393.73,91.893322609,13.896345131,3.0355239413,98.007721714,17.016840119,2.7908869037,28.726506012,50.068106534,-5.78966774,1117.0001446,1119.7143846,301.02759405,1218.942875,7.5604811773,42.039161138,42.005394871,24.889444194,121.57115782,1966,99.966988602,1420.1723629,2049.254718
BEN,246.0009003,2457.09,92.201194355,15.58839936,3.990711309,101.52704521,19.374469258,3.8031174833,34.063065732,60.519700659,-7.789593715,1081.5673689,1084.789824,309.38287143,1217.7486229,7.4639501775,40.282747019,39.64577195,23.804894183,119.36469215,1967,99.869373232,1376.4546392,1989.7824768
BEN,247.5646973,2522.05,89.381375171,15.123447254,4.0435558403,100.95427767,18.948896769,3.994768439,35.68201275,62.64199785,-4.504822425,1093.8744766,1096.3582873,333.21152626,1256.7554306,7.4317477723,38.830602877,37.874068847,23.093099594,118.83484682,1968,99.570981613,1395.3593724,2023.1223303
BEN,259.9606018,2588.67,87.821288344,15.648344608,4.2611015096,96.491359864,18.789276207,4.0737545188,41.952748093,71.998332996,-3.469632953,1097.8379924,1100.4666051,339.55927856,1223.6683833,7.0592746549,37.627482899,36.908041546,21.461737998,111.82177582,1969,99.244134957,1403.6568855,2038.101504
BEN,276.4031067,2657,85.238060158,17.248377769,3.8138088318,94.964651738,20.394174867,3.7106851245,50.415032836,77.222082152,-2.486437927,1094.3125667,1099.0648184,359.58967966,1235.1375768,7.1914078802,34.919128649,34.80906856,19.715402126,106.139512,1970,99.250666597,1401.6597455,2040.8244207
BEN,275.5914917,2727.39,84.967587434,17.779749552,3.6689971467,96.060700108,20.771439879,3.6483946009,58.115513703,96.277653251,-2.747336986,1051.2898025,1056.1565707,365.04862933,1199.8490256,6.8052849765,33.625671305,34.067286381,19.00161006,94.265996114,1971,99.074036832,1349.0595012,1969.4928251
BEN,252.0276031,2799.96,85.909350532,19.148276046,5.1053234126,95.862132757,21.626459259,5.0620377011,51.975065265,98.452749253,-5.057626578,1070.833517,1074.0578421,379.28642164,1199.3245305,6.5018228628,38.638132227,38.973811542,20.468150084,101.13874505,1972,99.488468791,1373.5426385,2015.8535538
BEN,222.8892059,2874.57,83.458488213,19.035509459,4.8267752534,96.519667724,22.007435628,4.9329975853,52.846490712,91.194527704,-2.493997672,1083.8383753,1087.3814895,416.83925013,1254.4831979,6.4517997395,42.093296788,42.508726487,22.030430628,114.03278553,1973,100,1394.1802608,2054.4821437
BEN,240.7046967,2950.92,87.132167164,18.763461901,7.4431694744,96.536066518,20.445249459,7.1697195009,54.810766046,91.003901802,-5.895629064,1067.2007062,1067.6255401,425.51961734,1171.3221039,6.1316218748,44.32472057,44.047157387,20.277914765,108.19348075,1974,100.41495641,1373.9007288,2032.4885504
BEN,214.3128967,3029,90.572955851,19.071387038,8.0002715735,100.74219164,20.788298949,7.6100209477,59.933733293,100.41411935,-9.644342889,980.43788561,980.70020911,432.36274862,1078.4268792,5.7721683032,51.612234525,50.74524111,25.071158094,124.69741569,1975,99.807668445,1262.8263638,1875.1340552
BEN,238.9505005,3106.78,91.376542203,17.539952329,8.2013266194,99.529638345,18.736370514,7.6955218816,54.942681521,94.08753339,-8.916494532,963.74311776,963.8542711,436.86565366,1037.7758454,5.2774764829,51.372974596,51.628601827,25.208928577,104.48118595,1976,100,1244.5944057,1855.3497761
BEN,245.6797028,3188.44,95.49198985,14.391814526,6.9431443462,105.84386994,15.317428145,6.6928974388,63.911978352,96.793329432,-9.883804376,990.71469199,993.30855056,483.89743295,1090.5387518,5.2988657159,48.555114208,46.136928946,28.064596065,124.28637269,1977,99.973408874,1280.2784192,1916.5438676
BEN,225.655899,3274.79,95.577614551,14.016483846,6.4440975995,106.27812925,15.016491869,6.1988135643,64.095481037,101.60617166,-9.594098397,982.56809552,985.93090878,513.21090722,1087.5304332,5.0222255413,55.24054417,52.968663756,32.789290319,137.77010541,1978,100.0324429,1271.4450472,1911.9982902
BEN,212.7216034,3366.49,94.29430156,14.283748137,8.753325525,106.59851376,15.669789435,8.6095803673,68.216564365,128.30008304,-8.578049697,991.90426633,991.85871244,569.13514153,1106.118312,5.0350062947,61.949794249,59.326000379,34.783918218,134.54384319,1979,100.10105533,1285.906193,1941.5398852
BEN,211.2796021,3464,93.291192912,15.823977921,11.008771897,109.31845638,17.81276595,11.371150964,66.097470832,142.98599212,-9.115170834,1000.0232023,996.28758564,649.69395646,1142.7511636,5.338344071,62.442537899,64.473479103,34.103323719,85.966521708,1980,99.793533872,1298.0552509,1970.4227381
BEN,271.7315063,3567.73,99.044973889,16.806223633,12.054395778,109.19797195,17.734452695,11.791678368,74.275029436,143.05998812,-15.85119752,1062.0518631,1057.5613896,708.28676006,1137.3449401,5.2475961059,51.023868352,53.08033559,27.84194039,66.447115202,1981,99.752022301,1379.6748497,2128.6154161
BEN,328.6062927,3678.02,89.731595467,13.150704822,17.756048707,100.38631283,14.177632107,17.416278136,72.474202286,111.93078076,-2.882300289,1004.2946014,993.74131384,723.24975927,1064.3560678,5.2021561901,47.670009569,43.856583135,38.01492469,74.092330051,1982,99.526644263,1308.1479772,2051.0102896
BEN,381.0660095,3794.49,88.928015786,17.443938686,10.294709923,95.419035408,18.069560239,9.8289187948,56.714628406,78.931958822,-6.371954472,1006.077526,1003.2825737,729.46193488,1056.6301757,4.8811043439,39.534823911,37.740565287,32.718673795,66.583702997,1983,98.785816962,1311.4939173,2092.0024727
BEN,436.9566956,3916.36,84.592501177,16.108895588,6.7011721511,88.722056539,16.261036239,6.4094765986,64.445894097,78.979947257,-0.701396765,1099.2364272,1099.8128216,807.133276,1141.6616137,4.8966140647,33.252951621,31.837929485,28.134706634,63.419246604,1984,97.183975615,1432.3061291,2326.1673062
BEN,449.2630005,4043,86.420184371,17.13907987,4.522402668,88.326723597,16.860862557,4.2195259122,76.988511082,87.451301057,-3.559264241,1171.7154275,1174.2431076,869.1038154,1192.5439116,4.9649454993,29.785616856,28.880518247,26.685405907,58.830697848,1985,97.963175819,1529.152083,2528.4942138
BEN,346.3059082,4174.27,86.410956684,17.280558973,6.8939235006,84.858737067,16.440488715,6.2381392295,67.617192984,78.736474504,-3.691515657,1138.8375894,1139.0592956,831.8757528,1108.9744869,4.538124616,38.493579367,36.473000546,33.974119464,75.148895071,1986,98.054030689,1489.1667453,2437.3052845
BEN,300.5365906,4309.84,85.533534666,17.262648117,6.57149868,81.571827831,16.314812311,5.85557222,67.702788756,79.288124433,-2.796182783,1093.743085,1093.9398965,804.21694467,1038.9985435,4.1563303668,45.09089334,42.64964836,40.596045361,88.673233551,1987,98.169570792,1432.3087834,2321.5933636
BEN,297.8482056,4449.2,91.54345978,13.109128035,6.5484542639,90.021235385,12.76300611,5.9857115501,70.110226347,75.968294555,-4.652587815,1087.2902181,1088.0393152,851.78496405,1066.0249844,4.123652214,42.709889223,38.419906058,43.017483314,102.06551656,1988,98.469498764,1423.858446,2287.1340971
BEN,319.0083008,4591.8,87.701541602,13.527359743,7.2282953984,86.295034048,12.965679139,6.6265018132,48.718451629,55.339821008,-1.228901345,1019.7747384,1019.7887203,826.88725208,995.92473248,3.760522761,39.564731291,38.596274389,32.420667599,64.684828469,1989,97.454323893,1337.554705,2130.3437519
BEN,272.264801,4737,88.080585075,13.039638125,7.6492939967,93.941132595,13.20380396,7.7558954222,52.21848876,65.423965399,-1.1202232,1000.0048397,999.83682275,914.75871522,1055.8232123,3.976356305,42.528058185,40.321102007,35.982378494,79.099183051,1990,97.889837577,1311.1323715,2068.4882701
BEN,282.1069031,4883.25,88.631744255,12.243867413,7.6150824406,90.603527494,12.636994672,7.3494578841,57.548037849,70.158617831,-0.875611668,1023.595329,1023.5290945,939.68505021,1043.1149156,4.0035881603,40.941554578,38.436541535,36.088168393,77.900825146,1991,98.357712804,1348.2186657,2117.2846845
BEN,264.691803,5029,89.6030409,12.264448988,7.6155775818,89.58674306,12.288122089,7.4720757876,57.249629535,78.386845581,-1.867489887,1032.4131965,1032.2017667,953.10787675,1030.3946042,3.8874241212,44.882881686,42.575369554,39.258115982,81.090871559,1992,97.19042134,1366.0994826,2135.5242516
BEN,283.1625977,5176.76,89.478753767,12.155383253,8.6115824223,88.665342266,12.090814353,8.3514126003,55.595625171,77.000357949,-1.63413702,1029.4835996,1029.0944127,961.59615441,1016.6123283,3.7702942264,42.237746445,39.880575933,36.015408796,75.512882721,1993,98.108857635,1368.5295362,2129.4644441
BEN,555.2047119,5325,89.452802524,11.45678931,5.3473964361,85.409742613,10.886903593,5.0338465657,61.125962334,50.748795706,-0.909591834,1089.2557746,1089.5043389,998.34254302,1040.4686306,3.720422687,28.156953854,25.300562531,24.861636681,82.9997109,1994,97.652845981,1454.7215897,2253.1018887
BEN,499.148407,5475,89.325810854,12.534365278,7.7015768554,91.816771613,12.646818517,7.8205316093,63.545816733,58.396824883,-1.860176133,1065.8333484,1065.7324189,1071.600546,1091.4468587,3.8415617907,34.283643753,30.199752582,30.784305302,87.345358826,1995,97.796910989,1430.0920214,2204.6531093
BEN,511.5523987,5628.82,89.902020369,12.14522169,7.0678021886,89.902020369,12.14522169,7.0678021886,59.734513274,59.734513274,-2.047242059,1106.8636941,1106.8636941,1106.8636941,1106.8636941,3.7914197757,35.454944888,32.073357922,31.259231368,85.678389422,1996,97.915965791,1485.1448775,2289.5234873
BEN,583.6693726,5794.36,92.931593808,12.542561426,8.0596793527,88.576350114,12.012762844,7.7522704519,47.284878864,60.265132182,-5.474155234,1133.0031545,1133.0031545,1101.0202852,1079.6839912,3.5749921299,32.145963775,28.869177003,27.406655047,77.304098753,1997,98.547676282,1516.2329035,2338.3611598
BEN,589.9517822,5950.33,90.980565444,12.224652032,7.5490767735,90.183958646,12.290988896,7.7406743377,45.855115758,60.143399766,-3.205217476,1146.2758132,1146.2645499,1178.4585991,1139.6777413,3.6563812592,32.367464313,29.757571917,25.508287612,74.929030978,1998,99.409910516,1531.9870918,2360.485144
BEN,615.6990967,6109.53,92.607331967,12.545918513,7.8599715101,87.522816376,11.895317953,7.8585256201,45.998608212,60.468214664,-5.15325048,1178.8025863,1178.9077352,1174.9026395,1117.1975654,3.4836941564,32.514611598,29.808234956,26.511644935,73.98334342,1999,99.330823923,1571.3453557,2422.072005
BEN,711.9763184,6272,92.267924905,13.04235248,8.252344289,87.590729902,11.587758682,8.0569376523,44.45165477,61.412251044,-5.310277385,1213.9836058,1214.2144267,1224.7430588,1144.1167208,3.4384865495,28.176435668,24.969118284,26.075967202,67.356522961,2000,99.164231709,1614.0275287,2488.8273106
BFA,,,,,,,,,,,,,,,,,,,,,1950,,,
BFA,,,,,,,,,,,,,,,,,,,,,1951,,,
BFA,,,,,,,,,,,,,,,,,,,,,1952,,,
BFA,,,,,,,,,,,,,,,,,,,,,1953,,,
BFA,,,,,,,,,,,,,,,,,,,,,1954,,,
BFA,,,,,,,,,,,,,,,,,,,,,1955,,,
BFA,,,,,,,,,,,,,,,,,,,,,1956,,,
BFA,,,,,,,,,,,,,,,,,,,,,1957,,,
BFA,,,,,,,,,,,,,,,,,,,,,1958,,,
BFA,245.1950989,4468.863105,128.27567741,12.609591608,3.901240213,98.549297244,12.654706323,2.4635797851,62.595106481,28.02565092,-40.88526901,792.72155317,796.59408596,140.53250485,643.57003663,4.9719453166,38.221452111,37.334899303,23.633720615,114.52244422,1959,,1005.1401436,1351.4748043
BFA,245.1950989,4630,94.35542574,13.690830565,3.1814139176,84.101574936,15.700523955,2.3523598461,22.201441819,12.58499752,-8.046256305,754.51343371,765.52862845,158.39933513,709.23892508,5.4839458232,39.922221371,39.447726742,24.438937103,120.62538381,1960,104.39218268,953.06960007,1283.996545
BFA,245.2601013,4720.5,91.888892653,14.57739803,4.0694329027,91.51454269,18.22580305,3.3811744549,22.789071505,24.308096215,-6.466290683,647.15229236,657.81800601,153.52904526,678.31931608,5.2305064858,42.820218912,42.934503822,25.371817642,102.74276398,1961,103.94265788,821.08426432,1106.2700198
BFA,245.0139008,4812.79,91.500298382,14.730715086,4.0997062689,93.11042861,18.523557586,3.5774711606,22.816764394,30.037631497,-6.231013468,670.52624443,681.54253315,164.51831932,716.87768405,5.2976141727,42.474674826,42.700843522,24.562530128,101.78726478,1962,105.30945192,852.25765634,1153.0544767
BFA,245.0164032,4907.06,91.632392112,14.598690913,4.0070247711,91.489083251,17.747816635,3.4288384801,22.831382873,32.257115847,-6.231083025,650.66489897,660.71858994,157.58212294,680.11939504,4.8746406689,45.150792663,45.318282158,25.780790411,111.89088737,1963,103.89970051,826.65118678,1123.7289561
BFA,245.0272064,5003.72,91.000080041,14.09280116,3.9033915915,94.954319766,17.710360186,3.4936618622,15.313427569,30.497426486,-5.092881202,643.99121593,653.59734224,164.8585758,700.85877499,4.8086467232,44.072999461,43.705475753,24.642380275,122.7933974,1964,103.86715289,817.3123088,1111.4811349
BFA,245.0608978,5103,90.710668716,10.162728343,5.8811932701,93.801812354,12.298377079,5.2089646164,17.255802909,33.321000169,-0.873397059,625.46754348,627.33454911,158.83161683,655.5811776,4.3168154981,46.232268278,46.494422794,25.931542445,77.268580466,1965,102.12088805,794.83006889,1086.6031317
BFA,245.6784058,5204.7,91.462944345,9.3069907322,5.8211071431,95.273635056,11.131119028,5.2271551015,17.993126829,34.456773385,-0.769935077,612.21200899,612.95953699,160.94669954,643.20671758,4.0422689363,45.893843048,46.368313155,25.582442908,70.913409988,1966,102.59991181,779.02726998,1067.6176724
BFA,246.0009003,5308.68,95.297922463,8.8614489309,4.9754609986,99.73380687,10.467592163,4.5064703668,20.258790828,35.715833246,-4.159371394,652.02324333,652.92786267,176.98221603,688.53635252,4.2697465333,42.508536038,42.468607292,23.384253159,77.334250201,1967,102.61151866,831.77902507,1140.6321396
BFA,247.5646973,5414.82,92.031810637,12.180562089,4.9174205933,95.839783368,14.071183516,4.4791508,23.134289211,39.950807614,-4.212372726,675.06555056,678.83992343,190.22388681,714.63829481,4.2426381912,39.607667803,40.007868588,22.232587986,75.156190113,1968,102.64755097,857.38252389,1182.5965856
BFA,259.9606018,5522.99,92.804816747,12.189398315,5.8729342519,97.09759409,13.937126641,5.3465969001,23.980361285,40.43207763,-4.994215062,669.15783074,671.94623374,197.43429201,708.26639277,4.1045643033,38.913920978,39.152755282,21.273072803,71.753783129,1969,102.62233478,853.1355312,1175.5035363
BFA,276.4031067,5633,89.477962694,15.130494376,6.2367780114,89.649005772,16.088367191,5.4570312063,23.12186976,37.839456127,-4.60845707,669.05088212,672.95325636,198.00209237,678.19350911,3.9598294609,36.523342036,37.339516198,18.863523767,67.65675411,1970,104.10190175,853.30821057,1180.6780266
BFA,275.5914917,5740.7,90.350776455,15.802865195,8.6463634279,91.55640687,16.547835313,7.7064134855,27.229300275,42.8451997,-6.153641651,657.13746086,659.1127238,204.19565809,666.92033846,3.8066425473,36.463051736,36.315900326,18.565961192,70.711040022,1971,104.4266209,838.11382036,1163.1684463
BFA,252.0276031,5848.38,85.812976376,18.608613349,10.835329581,84.659507894,18.581718513,9.4986167521,29.714756442,47.919430444,-4.421589725,667.95454101,668.61983957,208.75409665,654.62510878,3.5785150241,41.952653007,42.796354732,18.502190065,75.544620728,1972,103.93408873,853.98962575,1185.3092523
BFA,222.8892059,5958.7,84.465714653,19.90534233,12.669272923,84.360438053,19.874108077,11.181976571,31.26769684,48.064600827,-4.371056983,653.19037374,652.73937936,216.09242595,642.91726831,3.3446587791,46.493502179,46.614161853,21.276046624,85.309500767,1973,105.52678973,833.86005193,1158.7180299
BFA,240.7046967,6075.7,83.309477041,19.908903028,13.262795323,82.988703295,19.504744374,11.486634774,35.314639611,46.446343239,-3.218380069,692.29343488,691.42296408,247.77524787,675.21893051,3.5703738864,44.085172722,41.407289188,20.713690367,95.989287646,1974,104.18359894,886.06513448,1234.8541925
BFA,214.3128967,6202,84.722463013,26.095143227,12.704301796,82.969749796,25.04405868,10.639966945,40.105731305,48.602892131,-10.81760624,721.72616829,721.62000465,280.11019728,695.70160194,3.7395525108,47.945834783,46.919584209,26.729751314,98.368378535,1975,102.31440241,922.97673471,1289.0445755
BFA,238.9505005,6339.07,83.440142187,23.946110697,11.817505119,82.367857467,23.182329314,10.049507903,37.688087282,41.311018197,-7.386252885,756.99066494,757.46503447,311.14594357,736.70645606,3.7587422728,43.953003999,43.229105621,20.948080963,95.67971036,1976,103.49981137,967.55588404,1353.8821548
BFA,245.6797028,6483.82,90.578496024,22.197781567,10.365916587,91.791802871,21.600305775,9.1357816857,41.109273152,49.498651707,-12.77627759,736.90541911,739.59125875,329.41315693,739.66041971,3.607202611,46.927126855,46.497114179,23.93513041,99.920146018,1977,102.88572044,942.51518975,1319.1922911
BFA,225.655899,6636.08,88.250485765,22.022670851,10.591494825,85.952734434,20.665897509,8.9239802916,37.728553372,52.626739673,-10.27315662,764.39062644,766.575911,349.50986844,735.82635962,3.4202651649,56.345615325,56.723946671,29.024811788,110.00084984,1978,98.501498163,979.10709502,1370.749933
BFA,212.7216034,6795.58,89.352255158,23.621378334,8.6555576398,82.481484129,21.15979518,6.9516709116,40.227669264,53.730506543,-12.97363349,795.97374623,799.68798871,374.68940234,733.69890527,3.3147900414,60.888146957,61.987796624,31.378554561,130.06925506,1979,98.972851104,1022.1615139,1433.0980674
BFA,211.2796021,6962,93.557485448,20.792128533,8.4727234685,89.834922664,19.179110343,7.1713744176,42.99311525,55.548318283,-14.34961398,764.77065955,769.37540608,411.12720992,733.45793889,3.3781113118,59.797258566,60.977939371,29.908049688,120.10829638,1980,99.351631308,980.64684164,1377.25657
BFA,271.7315063,7135.18,92.856499627,21.860678994,8.0247355208,88.577905328,19.959160291,6.7919092296,43.678389393,57.514313631,-14.71717862,787.8865807,792.64351231,459.31688736,751.60527923,3.4030136456,48.013143533,49.82273507,22.936528505,95.386604562,1981,98.864019085,1007.6832658,1432.0599429
BFA,328.6062927,7315.13,84.719003421,29.748266325,9.5681067236,80.460966484,27.226488175,7.9672845511,42.537344744,48.058954639,-14.46726975,864.84843432,866.07218973,535.11156703,817.19320906,3.8489248218,39.704556054,41.385998755,20.769030445,83.689110267,1982,98.995148995,1108.0870563,1591.185987
BFA,381.0660095,7500.56,85.198400026,28.537310613,8.6686028104,81.413600059,26.326018042,7.3707187197,40.218349303,40.698644429,-13.73571064,836.31119877,838.37568463,542.85912197,797.83865488,3.6324746936,34.785970845,35.478100705,19.798697476,77.322020394,1983,98.819581838,1071.2113556,1554.3393405
BFA,436.9566956,7689.58,79.926821044,29.503854845,8.654982644,76.719898467,27.256931285,7.5762402494,42.858203003,40.880093848,-9.43067589,810.92005247,811.93124898,545.33261955,774.50091988,3.3083549573,30.805338099,33.662927755,15.389863117,56.96574634,1984,99.161547607,1040.1674937,1526.0352029
BFA,449.2630005,7881,79.601702527,28.815272617,14.511330554,77.54866684,27.020293706,12.905555765,44.594373727,45.562389152,-8.416975144,823.12638611,820.89395016,579.12956815,783.94707879,3.3084042343,31.346015369,33.696330812,14.236672839,52.427559717,1985,99.601330662,1054.2669266,1563.1086919
BFA,346.3059082,8075.25,83.300453681,28.186089157,11.442682184,85.887967326,28.154574324,10.871103905,41.728114058,52.250797488,-11.48654284,885.97982892,885.98385295,679.35245236,905.18234737,3.7060655713,34.028862291,35.449039279,17.501763633,64.400490487,1986,99.710378242,1137.3831067,1713.0099227
BFA,300.5365906,8272.3,80.285806657,29.269761366,10.687864297,82.377125538,29.761713371,10.246131651,41.439557288,49.518268208,-9.555568023,865.49701694,865.19722512,684.31956964,886.66774733,3.5366802786,38.116409633,40.046628596,19.429145335,74.793763428,1987,99.59174409,1111.0881465,1702.2005925
BFA,297.8482056,8472.13,78.013006036,26.851277318,10.590089142,79.772509494,27.183959662,10.065728145,37.897403548,43.705641718,-4.864283354,890.07121416,889.71198076,724.27486694,905.60910541,3.5063517022,38.766081485,40.468563282,20.580949625,72.333154554,1988,99.449293198,1142.4285693,1783.5526631
BFA,319.0083008,8674.71,78.138236293,25.26525031,11.065651659,80.515137613,25.359529618,10.623332668,35.138576349,39.427423488,-3.403486604,858.3622049,857.77413444,728.35716535,874.9842113,3.3124270468,37.404257354,37.779135486,20.618845666,73.081804767,1989,99.496397437,1101.4821362,1749.801952
BFA,272.264801,8880,75.691317854,26.814706659,10.399771897,79.38805511,26.701771401,10.369740773,38.366718195,47.899190188,-2.506024512,845.37124893,844.64567864,759.95081953,873.77021972,3.3034232771,40.974412506,41.921087087,22.732909367,81.118130388,1990,99.73428636,1065.622449,1750.2989868
BFA,282.1069031,9090.53,78.831890142,24.406873499,11.363118534,80.767140409,25.247262257,10.991455095,38.819638928,47.086570987,-3.238763641,893.08625827,892.79401718,821.50526919,913.09529462,3.5000756568,37.318121082,37.572438204,22.365181091,67.671251198,1991,99.669467716,1169.798509,1849.0905327
BFA,264.691803,9306.45,78.422562983,24.521134785,11.215594268,80.720304532,25.292910179,11.328736414,34.386852086,42.933956669,-2.943697768,885.71319534,885.26064067,841.5295622,911.03819725,3.4323316369,38.157733097,37.584282255,24.590962691,71.829073322,1992,99.59949463,1160.1409894,1833.8249738
BFA,283.1625977,9527.9,80.791111431,25.228389056,8.794382591,82.357685357,25.815646039,8.7738239253,38.003018228,46.728078749,-6.019500487,884.84494957,884.82862042,850.55664302,906.20388908,3.3349226551,34.652937331,34.251044777,20.90063743,77.796127263,1993,99.36453202,1159.0037279,1832.0273143
BFA,555.2047119,9755.03,79.806770845,26.741235001,6.5715276813,78.935318751,26.323345128,6.4082891573,39.552964043,32.747930246,-6.548005846,883.20551909,883.6247764,838.75798113,879.6026091,3.12571496,22.651499473,22.231915592,14.735102192,59.960917703,1994,99.186459832,1156.8563392,1828.6329553
BFA,499.148407,9988,80.406546561,25.626714386,9.2858879895,81.191395529,25.400684113,9.2630414634,41.361702128,38.004486268,-6.033260947,871.36326639,871.54721737,860.8930767,879.66729828,3.0862003211,27.376657851,26.832561822,17.001656581,60.720380857,1995,99.477069018,1141.3449041,1804.114162
BFA,511.5523987,10225,80.399499674,25.185030398,12.121397565,80.399499674,25.185030398,12.121397565,39.414934565,39.414934565,-5.584530072,881.11333888,881.11333888,881.11333888,881.11333888,3.0181408565,28.185382505,26.69056255,16.886061782,61.577283904,1996,99.688215329,1154.1159216,1824.3012005
BFA,583.6693726,10473.53,76.943114351,25.270427843,14.940015859,76.133782098,25.125951103,14.918166794,40.524344569,38.335434711,-2.213542194,891.14717265,891.14717265,899.01488776,879.07621209,2.9190844088,24.291503514,23.317408679,14.256920434,46.281312702,1997,99.414144441,1168.7985395,1852.4560557
BFA,589.9517822,10730.33,80.657050083,24.678008401,12.239873397,80.816287211,25.080507792,12.686381789,46.59400545,48.040035671,-5.335058484,942.85946605,942.61598303,979.58057591,949.72821864,3.0393261693,23.673163347,21.193065004,14.245464837,59.024365541,1998,99.521211295,1236.6226374,1967.823343
BFA,615.6990967,10995.7,79.808618092,24.988885239,13.144449175,78.363251361,24.615418228,13.653664812,41.292875989,41.237607031,-4.797503332,967.31894734,967.44728454,1001.6964075,953.53815921,2.9701217819,22.354846203,21.432887448,12.746159643,46.219719937,1999,99.256356211,1270.3788286,2027.0128565
BFA,711.9763184,11274,76.533786357,27.414103865,14.874132825,74.128131315,24.850779942,14.816539405,40.33290653,35.482870434,-3.947890223,956.82965348,957.76861621,985.67254734,911.69958953,2.7672921042,19.742620149,19.652487189,10.880822089,36.539328374,2000,99.102268358,1256.6032514,2017.2335942
BGD,,,,,,,,,,,,,,,,,,,,,1950,,,
BGD,,,,,,,,,,,,,,,,,,,,,1951,,,
BGD,,,,,,,,,,,,,,,,,,,,,1952,,,
BGD,,,,,,,,,,,,,,,,,,,,,1953,,,
BGD,,,,,,,,,,,,,,,,,,,,,1954,,,
BGD,,,,,,,,,,,,,,,,,,,,,1955,,,
BGD,,,,,,,,,,,,,,,,,,,,,1956,,,
BGD,,,,,,,,,,,,,,,,,,,,,1957,,,
BGD,,,,,,,,,,,,,,,,,,,,,1958,,,
BGD,6.825425716,48278.90836,89.556231572,3.4130036936,6.4999752054,89.655500174,4.4633374241,5.348691529,13.861628141,9.2098228961,7.0307647342,1052.5328692,1053.1362807,242.10078417,1053.0283898,8.5653625917,21.650992746,21.386595227,9.318585645,31.769338485,1959,,1317.9150888,3024.9075008
BGD,6.825425716,51419,90.011612811,3.5385143808,7.1133886045,90.783990725,4.5917558847,5.9515980384,16.118450173,9.3774824796,6.4498728081,1057.283773,1056.8626561,247.4479991,1063.9091065,8.566900991,22.462984944,22.096856462,9.5519864016,33.518414861,1960,,1329.3788624,3074.1192042
BGD,6.825425716,52685.82,90.179225103,3.8499028761,8.4563032642,91.502238921,4.9040462776,7.1583406571,21.203959273,10.779549069,5.9708720209,1020.6764249,1018.4926778,242.18142428,1029.2323333,8.2507613351,22.480039295,21.824379104,9.1883684795,35.523394787,1961,,1285.2962389,2999.0245612
BGD,6.825425716,54006.472,85.272590796,3.9086198501,12.265051544,86.900864343,4.9222404592,10.718440453,18.170245785,10.569572747,10.818789354,1088.5648716,1078.6565764,260.76140847,1089.7034753,8.3967143533,23.965898093,22.856713642,9.4324670531,36.308992475,1962,,1375.0886817,3230.7251712
BGD,6.825425716,55383.008,89.012964298,5.0717070489,8.9714100042,89.351579694,6.1988895551,7.7181715015,19.953606408,11.222189761,5.9153286535,1114.947718,1112.9827563,266.87480545,1115.3176178,8.2554972344,21.978762735,20.862915147,8.4521469215,40.696883318,1963,,1413.4458484,3350.0434666
BGD,6.825425716,56817.5,88.364114489,5.5327704127,11.171162586,88.051275011,6.6398686056,9.5482523011,20.847401887,12.370538159,6.1031150986,1105.3401092,1100.9039776,265.17798962,1091.367839,7.7347948973,23.483073234,22.371194084,9.0130011102,39.444688867,1964,,1403.8025228,3353.0708348
BGD,6.825425716,58312,84.447324138,8.0587791127,12.295186456,84.402916056,9.4259566459,10.525428192,20.456962066,11.954233872,7.4938967496,1089.1081362,1088.1033917,266.27268193,1082.868857,7.2369095211,24.268561952,23.902795307,9.3652495482,36.549019653,1965,,1386.3119409,3341.1460003
BGD,6.825425716,59865.14,83.184993908,8.0978466476,12.307311125,83.956211601,9.3838137678,10.707874196,20.104474992,12.542400654,8.7171594443,1085.5725329,1084.1652164,275.82017198,1088.4188237,6.9273822724,25.103758072,26.077506682,8.5543588026,29.411216029,1966,,1387.5131717,3367.7994348
BGD,6.825425716,61475.552,82.378356266,8.153240776,14.242425729,84.173971341,9.4032515519,12.594846789,21.276929116,13.954305055,9.4684029578,1021.076633,1016.7997689,269.09498112,1028.7996892,6.4919933117,25.557253743,25.712517909,9.3534340005,33.935267382,1967,,1308.7538761,3206.1806232
BGD,6.825425716,63145.288,78.535673338,7.9081094806,17.987382892,80.165518121,8.9546526775,16.059761198,18.613926164,12.853865802,13.556217181,1054.6081341,1044.0404912,286.76608883,1048.2120927,6.3958569074,25.091929197,24.365624573,13.234336002,33.476248851,1968,,1355.3909677,3346.9096053
BGD,6.825425716,64876.42,80.527830711,8.2241077804,16.215136556,82.028401934,9.1550362879,14.372198707,19.790214774,13.337556438,11.248061509,1056.0177125,1048.1541975,299.84274132,1051.3030516,6.2335868814,24.735416677,23.984140069,12.687213021,34.57710998,1969,,1362.4875339,3393.6365007
BGD,7.760828972,66671,82.393586006,8.6680309619,13.878763689,84.061817407,9.3854539916,12.365819759,18.031750236,13.786304479,8.9383830317,1104.5605176,1099.8142754,329.51881178,1107.3244734,6.5900227781,23.628439961,23.834434107,11.005247076,30.289381273,1970,,1429.888108,3593.2734327
